"Name (english)","Acronym (english)","Name (french)","Acronym (French)","Street","Postcode","Town","Country","Tel","Fax","Website","Email","Funding","Nature of organisation","President First Name","President Last Name","President Address","SG First Name","SG Last Name","SG Address","Year of foundation","Staff","Number of members","Working languages","Official languages","Committes","Geographical representation","Areas of competence","yearStatus"
"A Jewish Contribution to an Inclusive Europe","CEJI","Centre Européen Juif de l’Information","CEJI","8, rue Amédée Lynen","1210","Brussels","Belgium","+ 32 (0)2 - 344 34 44","+ 32 (0)2 - 344 67 35","www.ceji.org","","Public funding, Private donations","Association","Alain","Philippson","319, Avenue Brugmann 1180 Brussels Belgium","Robin","Sclafani","319, Avenue Brugmann 1180 Brussels Belgium","1991","6","14","English","French","Democracy, Social Cohesion and Global Challenges, Education and Culture, Human Rights","Austria, Belgium, Bulgaria, Czech Republic, Danemark, France, Germany, Greece, Hungary, Ireland, Italy, Luxembourg, Netherlands, Poland, Portugal, Spain, United Kingdom","Democracy, Promotion of democratic values and education for democratic citizenship, Strengthening civil society, Education and Culture, Cultural diversity, Cultural policies, Education for Democratic Citizenship, Intercultural Dialogue, Other, Religion, Human rights, Children's rights, Fight against racism, Gender equality, Legal protection, Other, Promotion and defence of Human Rights, Rights of Minorities, International Co-operation, European integration, Other, Social Cohension, Children, Fight against poverty and social exclusion, Intercommunity relations and integration, Other, Students, Youth, Youth participation, Youth policy","2007"
"Advice on Individual Rights in Europe – The AIRE Centre","AIRE","Centre AIRE","AIRE","Third Floor, 17 Red Lion Square","WC1R 4QH","London","United Kingdom","+ 44 20 7831 4276","+ 20 7404 7760","www.airecentre.org","","","Association","","","","","","","0","0","0","","","","","","0"
"Age-Platform Europe","Age","Age-Platform Europe","Age","Rue Froissart, 111","1040","Brussels","Belgium","+ 32.2.280.14.70","+ 32.2.280.15.22","www.age-platform.eu","info@age-platform.eu","","Association","","","","Anne-Sophie","Parent","Rue Froissart, 111 1040 Brussels Belgium","0","0","0","","","","","","0"
"Alzheimer Europe","AE","Alzheimer Europe","AE","145 route de Thionville","L-2611","Luxembourg","Luxembourg","+352 297970","+352 297972","www.alzheimer-europe.org","info@alzheimer-europe.org","","Association","Maurice","O'Connell","","Jean","Georges","Alzheimer Europe 145 route de Thionville L-2611 Luxembour","1990","5","28","French and English","","Democracy, Social Cohesion and Global Challenges, Education and Culture, Human Rights, Human Rights","Austria, Belgium, Bulgaria, Czech Republic, Danemark, Spain, Finland, France, Germany, Hungary, Ireland, Italy, Netherlands, Norway, Poland, Portugal, Romania, Switzerland, Slovakia, Sweden, Turkey, Greece, Luxembourg, Malta, Iceland, United Kingdom","Human rights, Education and Culture, Health","1999"
"Amnesty International","AI","Amnesty International","AI","1 Easton Street","WC1X0DW","London","United Kingdom","+44-20-74135500","+44-20-79561157","www.amnesty.org","coe.amnesty@amnesty.eu","Private donations","Association","-","-","-","Salil","Shetty","see above","1961","0","0","","","Human Rights","Austria, Belgium, Canada, Croatia, Czech Republic, Danemark, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Luxembourg, Moldova, Netherlands, Norway, Poland, Portugal, Slovakia, Slovenia, Spain, Sweden, Switzerland, Turkey, Ukraine, United Kingdom, USA","Human rights","1992"
"ANDANTE, European Alliance of Catholic Women’s Organisations","ANDANTE","ANDANTE, Alliance européenne d’organisations féminines catholiques","ANDANTE","","","Legal Seat in Düsseldorf, Germany","Germany","","","www.andante-europa.net","secretariat@andante-europa.net","Membership fees","Association","Mary","McHugh","","","","1,2 mln. members at grasroot level","2006","0","25","English, French, German","","Democracy, Social Cohesion and Global Challenges, Education and Culture, Human Rights","Albania, Austria, Czech Republic, Finland, France, Germany, Hungary, Latvia, Luxembourg, Netherlands, Norway, Romania, Slovakia, Switzerland, United Kingdom","","2012"
"Anti-Slavery International","ASI","Anti-Slavery International","ASI","Thomas Clarkson House, The Stableyard, Broomgrove","SW9 9TL","London","United Kingdom","","","www.antislavery.org","info@antislavery.org","","Association","","","","","","","0","0","0","","","","","","0"
"Assembly of European Regions","AER","Assemblée des Régions d'Europe","ARE","6 rue Oberlin","67000","Strasbourg","France","+33 388 2207 07","+33 388 7567 19","aer.eu","","Member fees, Public funding","Association","Riccardo","Illy","Via Carducci 6 34133 Trieste (Italy)","Klaus","Klipp","6 rue Oberlin 67000 Strasbourg","1986","20","260","Français, Anglais, Allemand","English, German, French","Democracy, Social Cohesion and Global Challenges, Education and Culture, Human Rights","Belgium, France, Romania","Social Cohension, International Co-operation, Education and Culture, Health, Environment and sustanable development, Youth","0"
"Association EUROPA (Regular Academic Conferences for Administration in Europe)","EUROPA","Association EUROPA (Entretiens universitaires réguliers pour l'administration en Europe)","EUROPA","Site des Jacobins, 88 rue du Pont St-Martial","87000","Limoges","France","05 59 27 46 11","","www.europaong.org","ch.bonnotte@orange.fr","","Association","Robert","Savy","","Christophe","BONNOTTE","45, rue de Liège 87000 Limoges","0","0","0","","","","","","0"
"Association for the Prevention of Torture","APT","Association pour la Prévention de la Torture","APT","Route de Ferney 10","1211","Geneva","Switzerland","41229192170","-229192139","www.apt.ch","apt@apt.ch","Member fees, Public funding, Private donations","Association","Martine","Brunschwig Graf","As above","Mark","Thompson","As above","1977","23","0","English, French and Spanish","English, French and Spanish","Human Rights","Switzerland","Human rights, Rule of Law","0"
"Association for the Protection of all Children Ltd","APPROACH Ltd","Association pour la protection des enfants Ltd","APPROACH Ltd","94 White Lion Street","N1 9PF","London","United Kingdom","00 44 207 713 0569","","www.endcorporalpunishment.org","","Public funding, Private donations","Association","Nick","Peacey","29 Woodland Gardens London N10","Peter","Newell","254 Alexandra Park Road, LONDON N22 7BG","1989","5","0","English","","Democracy, Social Cohesion and Global Challenges, Human Rights","","Human rights, Social Cohension, Rule of Law, Youth, Other","2004"
"Association for Voluntary Action in Europe","AVE","Association pour le Volontariat en Europe","AVE","BP 2541","69218","Lyon Cedex 2","France","+33 (0)4 78 42 13 52","","www.ave-europe.org","","","Association","","","","","","","0","0","0","","","","","","0"
"Association of European Border Regions","AEBR","Association des Régions frontalières européennes","ARFE","Holds status but does not wish mailings","","","Germany","","","www.aebr-ageg.de","","","Association","","","","Martin","Guillermo","","0","0","0","","","","","","0"
"Association of European Electoral Officials","ACEEEO","Association d'Administrateurs d'élections européens","ACEEEO","Alkotmány","1054","Budapest","Hungary","+36 1 354 02 65","+36 1 354 02 64","www.aceeeo.org","aceeeo@aceeeo.org","Member fees","Association","OCTAVIAN","OPRIS","","ZOLTÁN","TÓTH","1054 Alkotmány u. 25. Budapest, Hungary","1991","3","25","English and Russian","","Democracy, Social Cohesion and Global Challenges, Education and Culture","Bulgaria, Croatia, Hungary, Lithuania, Poland, Romania, Slovakia, Turkey, Albania, the former Yugoslav Republic of Macedonia, Georgia, Azerbaijan, Armenia, Latvia, Ukraine, Moldova, Bosnia and Herzegovina, Serbia, Russian Federation, Belarus, Montenegro","Democracy, Promotion of democratic values and education for democratic citizenship, local and regional democracy, Elections, Education and Culture, Education for Democratic Citizenship","2002"
"Association of European Journalists","AEJ","Association des Journalistes Européens","AEJ","Zahradnicka 74","82108","Bratislava","Slovakia","+421 903900209","","www.aej.org","","","Association","Eileen","DUNNE","","Tibor","MACAK","","0","0","0","","","","","","0"
"Association of Language Testers in Europe","ALTE","Association des centres d'évaluation en langues en Europe","ALTE","1 Hills Road","CB12EU","Cambridge","United Kingdom","+ 44 (0)1223552780","+ 44(0)1223553803","www.alte.org","","Member fees","Association","","","","Mike","Milanovic","1 Hills Road Cambridge","1989","3","31","English and French","","Democracy, Social Cohesion and Global Challenges, Education and Culture","Austria, Belgium, Bulgaria, Danemark, Spain, Estonia, Finland, France, Germany, Hungary, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Sweden, Greece, Latvia, Luxembourg, Russian Federation, United Kingdom","Social Cohension, Education and Culture, Other","2003"
"Association of Local Democracy Agencies","ALDA","Association des Agences de la Démocratie Locale","ALDA","Council of Europe","67057","Strasbourg","Greece","+33 390 214593","+33 390 412751","alda-europe.eu","","Member fees, Public funding, Private donations","Association","Oriano","Otaçan","Council of Europe - Avenue de L'Europe - 67075 Strasbourg","Imislava","Gorska","Council of Europe - Avenue de L'Europe - 67075 Strasbourg","10","20","150","English, French, Italian","English, French","Democracy, Social Cohesion and Global Challenges, Human Rights, Human Rights","Belgium, Bulgaria, Croatia, Cyprus, Danemark, Spain, France, Germany, Ireland, Italy, Lithuania, Norway, Poland, Switzerland, Turkey, Greece, Albania, the former Yugoslav Republic of Macedonia, Georgia, Ukraine, Bosnia and Herzegovina, Serbia, United Kingdom, Belarus, Montenegro","Human rights, Promotion and defence of Human Rights, Economics and social rights, Children's rights, Gender equality, Trafficking in human beings, Democracy, Promotion of democratic values and education for democratic citizenship, local and regional democracy, Other, International Co-operation, Promotion of Peace, Conflict meditation, North-South Dialogue, European integration, Education and Culture, Education for Democratic Citizenship, Cultural diversity, Rule of Law, Other, Environment and sustanable development, Environment protection, Sustainable tourism, Other, Media and Communication, Freedom of expression, Media pluralism, Youth, Rights of Minorities, Youth policy, Youth participation, Intercultural Dialogue, Strengthening civil society","2007"
